               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077303,            0.054175,              0.0348,             0.88743,             0.14675,             0.15716,            0.074007,            0.054258,            0.035734,            0.021594,            0.070012,            0.003332,            0.003332
                   1,            0.059677,            0.039763,            0.020231,             0.68039,             0.25033,             0.23993,             0.11706,            0.049263,             0.03346,            0.015597,             0.03988,           0.0065334,           0.0065334
                   2,            0.055704,            0.038069,            0.016606,             0.66507,             0.29202,             0.29537,             0.15347,            0.046053,            0.032613,             0.01415,           0.0096161,           0.0096027,           0.0096027
                   3,            0.050502,            0.037351,            0.015132,             0.53374,             0.34206,             0.36076,              0.2009,            0.040936,            0.031224,            0.012757,            0.009406,            0.009406,            0.009406
                   4,            0.046779,            0.036306,            0.013645,             0.58893,             0.34845,             0.39737,             0.22777,             0.03911,            0.030776,            0.011469,            0.009406,            0.009406,            0.009406
                   5,            0.044169,            0.035597,            0.012432,             0.56586,             0.39885,             0.41425,             0.24442,              0.0373,            0.030022,            0.010964,            0.009208,            0.009208,            0.009208
                   6,             0.04253,            0.035073,            0.011626,               0.671,             0.38822,             0.43388,             0.25537,            0.036035,            0.029526,            0.010473,             0.00901,             0.00901,             0.00901
                   7,            0.041311,            0.034251,            0.011412,             0.60663,             0.39641,             0.43006,             0.25871,            0.035481,            0.029317,            0.010349,            0.008812,            0.008812,            0.008812
                   8,            0.040445,            0.034154,            0.010949,             0.73985,             0.38951,             0.44328,             0.26507,            0.034787,            0.028754,           0.0099724,            0.008614,            0.008614,            0.008614
                   9,            0.039703,            0.034242,            0.010776,             0.76679,             0.38613,             0.44273,             0.26603,            0.034519,            0.028878,           0.0099589,            0.008416,            0.008416,            0.008416
                  10,            0.038502,            0.033188,            0.010253,             0.70306,              0.4019,             0.45454,             0.27122,            0.033829,            0.028546,           0.0095443,            0.008218,            0.008218,            0.008218
                  11,            0.037788,            0.032814,            0.009925,             0.63952,              0.4358,             0.46414,             0.28561,            0.033371,            0.028682,           0.0092707,             0.00802,             0.00802,             0.00802
                  12,            0.036865,            0.032638,           0.0099384,             0.67452,             0.43209,             0.46858,             0.29011,            0.032866,            0.028048,           0.0090503,            0.007822,            0.007822,            0.007822
                  13,            0.036934,            0.032285,           0.0095891,             0.71662,             0.44532,             0.49248,             0.30827,            0.032484,            0.027829,           0.0087673,            0.007624,            0.007624,            0.007624
                  14,            0.036249,            0.032209,           0.0091335,             0.73838,             0.42285,             0.48838,             0.30756,            0.032221,             0.02783,           0.0087948,            0.007426,            0.007426,            0.007426
                  15,            0.035555,            0.031753,           0.0089768,             0.74188,             0.44371,              0.4977,             0.30652,              0.0319,            0.027605,           0.0085117,            0.007228,            0.007228,            0.007228
                  16,            0.035124,            0.031933,           0.0087923,             0.71316,             0.45555,             0.50015,             0.31455,              0.0316,            0.027313,           0.0084256,             0.00703,             0.00703,             0.00703
                  17,            0.034634,            0.031237,           0.0087823,             0.73203,             0.44034,             0.49999,             0.31203,            0.031449,            0.027377,           0.0082273,            0.006832,            0.006832,            0.006832
                  18,            0.034425,            0.031039,           0.0084413,             0.72363,             0.45029,             0.50406,             0.31892,            0.030986,            0.027222,           0.0082495,            0.006634,            0.006634,            0.006634
                  19,            0.034147,            0.031288,            0.008441,              0.7487,             0.46332,             0.52249,              0.3279,            0.030788,            0.026915,           0.0078891,            0.006436,            0.006436,            0.006436
                  20,            0.033585,            0.030677,           0.0082559,              0.6973,             0.46102,             0.50594,              0.3233,             0.03094,            0.027015,           0.0081241,            0.006238,            0.006238,            0.006238
                  21,            0.033236,            0.030434,           0.0080283,             0.71806,             0.46194,             0.51144,             0.32391,            0.030508,            0.026928,           0.0080424,             0.00604,             0.00604,             0.00604
                  22,            0.033058,            0.030491,           0.0076493,             0.73065,             0.46494,             0.52157,             0.32534,            0.030685,            0.026774,           0.0080284,            0.005842,            0.005842,            0.005842
                  23,            0.032753,            0.030079,           0.0078997,             0.74135,             0.45467,             0.51571,             0.33099,            0.030146,             0.02661,           0.0078136,            0.005644,            0.005644,            0.005644
                  24,            0.032541,            0.029938,           0.0074703,             0.72666,             0.46577,             0.51549,             0.33099,            0.030092,            0.026589,           0.0079865,            0.005446,            0.005446,            0.005446
