               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078835,            0.044864,             0.03089,             0.88623,             0.15115,             0.17699,            0.083877,            0.052375,            0.033983,            0.018418,            0.070012,            0.003332,            0.003332
                   1,            0.059351,            0.038255,            0.018268,             0.70816,             0.25202,             0.27448,             0.13656,            0.046631,            0.032505,            0.014699,             0.03988,           0.0065334,           0.0065334
                   2,            0.054991,            0.037074,            0.015617,             0.69769,             0.32166,             0.33963,             0.17587,            0.045518,            0.031948,            0.013137,           0.0096161,           0.0096027,           0.0096027
                   3,            0.050283,            0.036742,            0.014207,             0.57942,             0.34709,              0.3813,              0.2189,            0.040828,            0.030928,            0.012044,            0.009406,            0.009406,            0.009406
                   4,            0.046381,            0.035865,            0.012941,             0.58518,              0.3686,             0.41119,             0.23365,            0.038279,            0.030135,            0.010924,            0.009406,            0.009406,            0.009406
                   5,            0.043891,            0.035204,             0.01195,             0.72739,             0.38257,             0.43015,              0.2494,            0.037682,            0.029826,            0.010532,            0.009208,            0.009208,            0.009208
                   6,            0.042512,            0.034779,            0.011159,             0.75693,             0.39095,             0.44487,             0.26584,            0.035212,            0.029253,            0.010108,             0.00901,             0.00901,             0.00901
                   7,            0.041101,            0.033976,             0.01093,             0.57145,             0.41307,             0.45708,             0.27174,            0.035017,            0.028987,             0.00975,            0.008812,            0.008812,            0.008812
                   8,            0.040463,            0.033938,            0.010559,             0.65411,             0.43372,             0.46544,             0.27413,            0.034535,             0.02872,           0.0093687,            0.008614,            0.008614,            0.008614
                   9,             0.03939,            0.034065,             0.01034,             0.67789,             0.43788,             0.47074,             0.27998,            0.033646,            0.028728,           0.0094147,            0.008416,            0.008416,            0.008416
                  10,            0.038724,            0.033047,           0.0098225,             0.69593,             0.42128,             0.47502,             0.28533,            0.033768,            0.028685,           0.0090651,            0.008218,            0.008218,            0.008218
                  11,            0.037504,            0.032579,           0.0094054,             0.67153,             0.44324,             0.48114,             0.29323,            0.033293,            0.028418,           0.0087799,             0.00802,             0.00802,             0.00802
                  12,            0.037206,            0.032604,           0.0094558,              0.7004,             0.44624,             0.49822,             0.30304,            0.032623,            0.028068,           0.0086534,            0.007822,            0.007822,            0.007822
                  13,             0.03672,            0.032047,           0.0091917,               0.714,             0.44418,             0.49633,             0.30008,            0.032905,            0.027886,           0.0084905,            0.007624,            0.007624,            0.007624
                  14,            0.036219,             0.03204,            0.008777,             0.73074,             0.44119,             0.50036,             0.30763,            0.032318,            0.027835,           0.0086212,            0.007426,            0.007426,            0.007426
                  15,            0.035432,            0.031656,           0.0086429,             0.69336,             0.46127,             0.50896,             0.31244,            0.031824,            0.027631,           0.0081373,            0.007228,            0.007228,            0.007228
                  16,            0.035119,            0.031818,           0.0084312,             0.72332,              0.4612,             0.51089,             0.31857,            0.031559,            0.027526,           0.0082901,             0.00703,             0.00703,             0.00703
                  17,            0.034685,            0.031086,           0.0085408,             0.72925,             0.45546,             0.50913,             0.32217,            0.031249,            0.027238,           0.0081873,            0.006832,            0.006832,            0.006832
                  18,            0.034204,            0.030766,           0.0082375,             0.71403,             0.46307,             0.51984,             0.32603,            0.030845,              0.0271,           0.0077241,            0.006634,            0.006634,            0.006634
                  19,            0.034201,             0.03113,           0.0081679,             0.75249,             0.45763,             0.52181,             0.32669,            0.030833,            0.026911,           0.0078646,            0.006436,            0.006436,            0.006436
                  20,             0.03319,            0.030436,           0.0080192,             0.72406,             0.45952,              0.5357,             0.34253,            0.030484,            0.026867,           0.0079536,            0.006238,            0.006238,            0.006238
                  21,            0.033406,            0.030297,           0.0076757,              0.7119,              0.4567,             0.51605,             0.33029,            0.030552,               0.027,           0.0082345,             0.00604,             0.00604,             0.00604
                  22,            0.032942,            0.030445,           0.0075563,             0.61527,             0.45046,             0.52987,             0.34126,            0.030252,            0.026736,           0.0079064,            0.005842,            0.005842,            0.005842
                  23,            0.032669,            0.030005,           0.0075847,              0.7674,             0.46439,             0.54219,              0.3496,            0.030074,            0.026566,           0.0074703,            0.005644,            0.005644,            0.005644
                  24,             0.03246,            0.029806,           0.0073561,             0.78657,             0.45102,             0.54724,             0.35544,            0.030043,            0.026548,           0.0077828,            0.005446,            0.005446,            0.005446
                  25,            0.032011,            0.029536,            0.007072,             0.59829,             0.54303,               0.559,             0.36477,            0.029829,            0.026236,           0.0075538,            0.005248,            0.005248,            0.005248
                  26,            0.031559,            0.029135,           0.0071526,             0.62924,             0.50093,             0.55386,             0.35923,            0.029806,            0.026514,            0.007485,             0.00505,             0.00505,             0.00505
                  27,            0.031646,            0.029606,           0.0070572,             0.66573,             0.52912,             0.57063,             0.37314,            0.029635,            0.026306,           0.0074308,            0.004852,            0.004852,            0.004852
                  28,            0.031306,            0.028854,           0.0069465,             0.72478,             0.49505,             0.56861,             0.37077,            0.029498,            0.026424,           0.0075015,            0.004654,            0.004654,            0.004654
                  29,            0.031247,            0.029165,           0.0068019,             0.69462,             0.51956,             0.57792,             0.37538,            0.029498,            0.026444,           0.0075122,            0.004456,            0.004456,            0.004456
                  30,            0.030536,            0.028974,           0.0067246,             0.69542,             0.52093,             0.57255,              0.3737,            0.029356,             0.02628,           0.0074896,            0.004258,            0.004258,            0.004258
                  31,            0.030452,            0.028674,           0.0064322,              0.7698,             0.48603,             0.57166,             0.37978,            0.029334,            0.026339,           0.0074911,             0.00406,             0.00406,             0.00406
                  32,            0.030273,            0.028842,           0.0063628,             0.73995,             0.50664,             0.58657,             0.38792,            0.029096,            0.026185,           0.0074127,            0.003862,            0.003862,            0.003862
                  33,            0.030071,            0.028321,           0.0062905,             0.69825,              0.4894,             0.57328,             0.38068,            0.028883,            0.025997,           0.0074601,            0.003664,            0.003664,            0.003664
                  34,            0.029761,            0.028346,            0.006445,             0.79083,             0.51173,             0.59373,             0.39603,            0.028879,            0.026115,           0.0072944,            0.003466,            0.003466,            0.003466
                  35,            0.029729,              0.0282,           0.0062971,             0.70918,             0.50916,              0.5796,             0.38244,            0.028733,            0.025965,           0.0074163,            0.003268,            0.003268,            0.003268
                  36,            0.029659,            0.028189,           0.0061069,             0.73497,              0.5158,               0.593,               0.397,            0.028848,            0.026017,           0.0070379,             0.00307,             0.00307,             0.00307
                  37,            0.029183,            0.027759,           0.0058101,             0.75766,             0.49624,             0.59442,             0.40046,            0.028713,            0.025895,           0.0071631,            0.002872,            0.002872,            0.002872
                  38,            0.028889,            0.027364,            0.005785,             0.68653,             0.54035,             0.59536,             0.40014,             0.02866,            0.025858,           0.0071598,            0.002674,            0.002674,            0.002674
