               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075985,            0.046424,            0.032932,             0.34302,             0.23664,             0.19733,            0.093574,            0.053172,            0.033895,            0.019307,            0.070012,            0.003332,            0.003332
                   1,            0.058357,            0.038247,            0.018469,             0.67493,             0.25375,             0.24281,             0.11099,            0.048009,            0.032189,            0.014653,             0.03988,           0.0065334,           0.0065334
                   2,            0.054372,            0.036943,            0.015786,             0.55696,             0.30912,             0.32913,             0.16983,            0.044166,            0.031881,            0.013244,           0.0096161,           0.0096027,           0.0096027
                   3,            0.049742,            0.036683,            0.014371,             0.71045,             0.34923,             0.38889,             0.20703,            0.040427,            0.030905,            0.012197,            0.009406,            0.009406,            0.009406
                   4,            0.046218,            0.035806,            0.013029,             0.73252,             0.34635,             0.40597,              0.2329,            0.038166,            0.030074,             0.01099,            0.009406,            0.009406,            0.009406
                   5,             0.04377,            0.035243,            0.011998,             0.76331,             0.37318,             0.44516,             0.25956,            0.037004,             0.02989,            0.010369,            0.009208,            0.009208,            0.009208
                   6,            0.042409,            0.034829,             0.01126,             0.69755,             0.40417,             0.44835,             0.26552,            0.035223,            0.029402,            0.010244,             0.00901,             0.00901,             0.00901
                   7,            0.041166,            0.034051,            0.010924,             0.67318,             0.41408,             0.45558,             0.26493,            0.035555,            0.029312,           0.0097296,            0.008812,            0.008812,            0.008812
                   8,            0.040393,            0.033903,            0.010544,               0.671,             0.43704,             0.47992,             0.28052,             0.03487,            0.028772,            0.009407,            0.008614,            0.008614,            0.008614
                   9,             0.03947,            0.034063,            0.010277,              0.7074,             0.43024,             0.47045,              0.2785,            0.033816,            0.028774,           0.0092292,            0.008416,            0.008416,            0.008416
                  10,            0.038531,            0.033046,           0.0098683,             0.68997,             0.44166,             0.48703,             0.28777,            0.033856,            0.028679,            0.008933,            0.008218,            0.008218,            0.008218
                  11,            0.037876,            0.032773,           0.0096334,             0.71703,             0.43042,             0.47849,             0.28806,            0.033258,            0.028666,           0.0088819,             0.00802,             0.00802,             0.00802
                  12,            0.036861,            0.032519,            0.009663,             0.69599,             0.44753,             0.49552,             0.30363,            0.032612,            0.028067,           0.0086612,            0.007822,            0.007822,            0.007822
                  13,            0.036841,            0.032103,            0.009289,             0.72666,             0.43628,             0.50241,              0.3115,            0.032411,            0.027948,           0.0086844,            0.007624,            0.007624,            0.007624
                  14,            0.036164,            0.032073,           0.0088462,               0.747,             0.43652,             0.50365,             0.31675,             0.03216,            0.027622,           0.0084526,            0.007426,            0.007426,            0.007426
                  15,            0.035793,            0.031754,           0.0087303,             0.72352,             0.44786,             0.49831,             0.30725,            0.031816,            0.027502,           0.0084754,            0.007228,            0.007228,            0.007228
                  16,            0.035031,             0.03192,           0.0086374,             0.72175,             0.45761,             0.50911,             0.31668,             0.03195,            0.027552,            0.008389,             0.00703,             0.00703,             0.00703
                  17,            0.034704,            0.031262,           0.0085964,             0.72846,             0.44637,             0.50575,             0.31639,            0.031385,            0.027308,           0.0082473,            0.006832,            0.006832,            0.006832
                  18,            0.034273,            0.030864,            0.008238,             0.67288,             0.47348,             0.51071,             0.32275,             0.03101,            0.027015,           0.0079646,            0.006634,            0.006634,            0.006634
                  19,            0.034068,            0.031248,            0.008235,             0.76004,             0.45364,             0.51888,             0.32526,            0.030891,            0.027023,           0.0076898,            0.006436,            0.006436,            0.006436
                  20,            0.033694,            0.030599,            0.008074,             0.75658,             0.45596,             0.52196,             0.32868,            0.030854,            0.027017,            0.007938,            0.006238,            0.006238,            0.006238
