               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034519,             0.03177,           0.0075777,             0.71711,             0.44813,             0.50278,             0.31319,            0.032796,            0.028132,           0.0078941,             0.00307,             0.00307,             0.00307
                  37,            0.034166,            0.031323,           0.0072985,             0.75027,             0.43328,             0.50871,             0.32072,            0.032701,            0.028116,           0.0078792,            0.002872,            0.002872,            0.002872
                  38,            0.033717,            0.030971,           0.0071351,             0.73312,             0.44783,              0.5165,             0.32097,            0.032583,            0.027987,           0.0077513,            0.002674,            0.002674,            0.002674
                  39,            0.033831,            0.031242,           0.0073946,              0.7213,             0.44939,             0.51811,             0.31744,            0.032599,            0.027986,           0.0077762,            0.002476,            0.002476,            0.002476
                  40,            0.033808,            0.031383,           0.0070416,             0.71676,             0.45352,              0.5159,             0.32216,            0.032338,             0.02789,           0.0077869,            0.002278,            0.002278,            0.002278
                  41,            0.033507,            0.030859,            0.007072,             0.66175,             0.47639,             0.51678,             0.32406,            0.032323,            0.027922,            0.007709,             0.00208,             0.00208,             0.00208
                  42,            0.033241,            0.030784,           0.0068458,             0.73539,             0.44566,             0.52993,              0.3322,            0.032137,            0.027708,           0.0076948,            0.001882,            0.001882,            0.001882
                  43,            0.033217,            0.030473,           0.0069942,              0.6375,              0.4768,             0.51857,             0.33023,            0.032164,            0.027769,           0.0078103,            0.001684,            0.001684,            0.001684
                  44,            0.032986,            0.031116,           0.0066704,             0.76094,             0.43564,              0.5316,             0.33361,            0.032129,             0.02769,           0.0077386,            0.001486,            0.001486,            0.001486
                  45,             0.03313,            0.030564,           0.0071398,             0.65345,             0.49313,             0.53626,             0.33604,            0.032122,            0.027736,           0.0076254,            0.001288,            0.001288,            0.001288
                  46,            0.032644,            0.030152,           0.0066054,             0.63058,             0.49976,             0.53144,             0.33793,            0.031981,            0.027651,           0.0077113,             0.00109,             0.00109,             0.00109
                  47,            0.032722,            0.030321,           0.0067988,              0.6933,             0.47639,             0.53403,             0.33936,            0.031915,            0.027671,           0.0076153,            0.000892,            0.000892,            0.000892
                  48,            0.032765,            0.030357,           0.0066534,              0.6751,             0.49545,             0.53684,             0.34274,            0.031766,            0.027532,           0.0075548,            0.000694,            0.000694,            0.000694
                  49,            0.032621,            0.030123,           0.0065725,             0.66228,             0.48833,             0.53285,             0.33924,            0.031771,            0.027549,           0.0075962,            0.000496,            0.000496,            0.000496
                  50,            0.042139,             0.03325,            0.007832,             0.69106,             0.39679,             0.46111,             0.24621,            0.040416,            0.030834,            0.009062,                0.01,                0.01,                0.01
                  51,            0.035616,             0.03209,           0.0079637,             0.65258,             0.47372,             0.50862,             0.31291,            0.033245,            0.028451,            0.008103,          0.00048077,          0.00048077,          0.00048077
