               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.078943,             0.05584,            0.036286,             0.89401,             0.13249,              0.1625,            0.069231,            0.054195,            0.035726,             0.02239,            0.070012,            0.003332,            0.003332
                   1,            0.058986,            0.040039,            0.020628,             0.70709,             0.25787,             0.25874,               0.127,            0.046267,            0.033034,            0.015755,             0.03988,           0.0065334,           0.0065334
                   2,            0.055286,            0.037958,            0.016515,             0.51895,              0.3102,             0.30575,             0.15631,            0.045875,            0.032121,            0.013755,           0.0096161,           0.0096027,           0.0096027
                   3,            0.050457,            0.037338,            0.014918,             0.70669,              0.3354,             0.37313,             0.20839,            0.040276,            0.031134,            0.012372,            0.009406,            0.009406,            0.009406
                   4,            0.046624,            0.036233,            0.013512,             0.76123,             0.35708,             0.40807,             0.23715,            0.038819,            0.030328,            0.011557,            0.009406,            0.009406,            0.009406
                   5,            0.043972,            0.035593,            0.012474,             0.73574,             0.37085,             0.41378,             0.24155,            0.037602,            0.030068,            0.010739,            0.009208,            0.009208,            0.009208
                   6,            0.042564,            0.035103,            0.011695,              0.7549,             0.37503,             0.42811,             0.25269,              0.0355,            0.029483,            0.010528,             0.00901,             0.00901,             0.00901
                   7,            0.041145,            0.034282,            0.011446,             0.77864,             0.37174,             0.43105,             0.25541,            0.035257,            0.029321,            0.010191,            0.008812,            0.008812,            0.008812
                   8,             0.04042,            0.034077,            0.011035,             0.75628,             0.38728,             0.43452,              0.2643,            0.034336,            0.028968,            0.010087,            0.008614,            0.008614,            0.008614
                   9,            0.039422,            0.034204,            0.010853,             0.77364,             0.38232,             0.43835,             0.26455,            0.034197,            0.028896,           0.0098469,            0.008416,            0.008416,            0.008416
                  10,            0.038569,            0.033174,            0.010416,             0.76019,             0.39946,             0.44282,              0.2663,            0.034194,            0.028674,           0.0093387,            0.008218,            0.008218,            0.008218
                  11,            0.037631,            0.032854,            0.010054,             0.76637,             0.39372,             0.45049,              0.2786,            0.033309,            0.028543,           0.0092516,             0.00802,             0.00802,             0.00802
